bootstrap,wasserstein,kl,rmse,mae,dataset,model
0,0.162467,13.265153,0.247458,0.190663,electricity,TimeGAN
1,0.159631,13.249368,0.245033,0.18828,electricity,TimeGAN
2,0.161048,13.28523,0.245518,0.189367,electricity,TimeGAN
3,0.161132,13.244357,0.24622,0.189455,electricity,TimeGAN
4,0.160812,13.236803,0.247543,0.189303,electricity,TimeGAN
5,0.160496,13.281108,0.244835,0.189003,electricity,TimeGAN
6,0.160274,13.282934,0.243738,0.188161,electricity,TimeGAN
7,0.159495,13.325594,0.242621,0.186967,electricity,TimeGAN
8,0.161089,13.306125,0.245365,0.189083,electricity,TimeGAN
9,0.159651,13.271011,0.244904,0.188256,electricity,TimeGAN
10,0.160881,13.237318,0.245962,0.189165,electricity,TimeGAN
11,0.159133,13.217802,0.244753,0.187789,electricity,TimeGAN
12,0.158648,13.240347,0.242966,0.186847,electricity,TimeGAN
13,0.161736,13.271396,0.245928,0.189406,electricity,TimeGAN
14,0.160747,13.309488,0.245731,0.189383,electricity,TimeGAN
0,0.117245,17.206774,0.185655,0.14295,exchange,TimeGAN
1,0.117852,17.172741,0.186327,0.144166,exchange,TimeGAN
2,0.117946,17.233436,0.187206,0.143849,exchange,TimeGAN
3,0.111681,17.489262,0.181057,0.139168,exchange,TimeGAN
4,0.117913,17.439018,0.186028,0.143914,exchange,TimeGAN
5,0.117083,17.258652,0.18857,0.144028,exchange,TimeGAN
6,0.118514,17.271778,0.188429,0.145309,exchange,TimeGAN
7,0.117344,17.42351,0.18902,0.143707,exchange,TimeGAN
8,0.116054,17.268275,0.18418,0.141832,exchange,TimeGAN
9,0.111677,17.461059,0.180589,0.138857,exchange,TimeGAN
10,0.117311,17.346684,0.185928,0.144203,exchange,TimeGAN
11,0.116892,17.187851,0.184523,0.14284,exchange,TimeGAN
12,0.121353,16.869138,0.19219,0.147148,exchange,TimeGAN
13,0.120586,17.291041,0.190929,0.146521,exchange,TimeGAN
14,0.117061,17.438511,0.187466,0.143871,exchange,TimeGAN
0,0.167541,8.924277,0.343003,0.209774,weather,TimeGAN
1,0.1697,8.924682,0.343113,0.211388,weather,TimeGAN
2,0.171332,8.965238,0.348421,0.214112,weather,TimeGAN
3,0.17107,9.009406,0.347588,0.213731,weather,TimeGAN
4,0.170594,8.91664,0.347758,0.213177,weather,TimeGAN
5,0.166958,8.902369,0.343396,0.20991,weather,TimeGAN
6,0.16941,8.939632,0.346831,0.211891,weather,TimeGAN
7,0.165059,8.848588,0.341651,0.207793,weather,TimeGAN
8,0.174375,8.994357,0.354774,0.217961,weather,TimeGAN
9,0.169587,8.931844,0.346924,0.21206,weather,TimeGAN
10,0.168101,8.850812,0.343182,0.209202,weather,TimeGAN
11,0.167147,8.89504,0.345215,0.209774,weather,TimeGAN
12,0.167072,8.881555,0.339358,0.207758,weather,TimeGAN
13,0.167089,8.772911,0.345352,0.209535,weather,TimeGAN
14,0.166022,8.85545,0.344672,0.20884,weather,TimeGAN
0,0.101202,13.609225,0.207156,0.171737,electricity,TimeVAE
1,0.098651,13.555934,0.204957,0.169494,electricity,TimeVAE
2,0.101335,13.658103,0.205753,0.170682,electricity,TimeVAE
3,0.102876,13.601504,0.207092,0.171396,electricity,TimeVAE
4,0.099887,13.567646,0.206719,0.170419,electricity,TimeVAE
5,0.101908,13.657944,0.205754,0.171062,electricity,TimeVAE
6,0.103476,13.690285,0.204972,0.170195,electricity,TimeVAE
7,0.102612,13.635405,0.203544,0.168752,electricity,TimeVAE
8,0.103074,13.661121,0.206367,0.171225,electricity,TimeVAE
9,0.101762,13.612447,0.206106,0.170848,electricity,TimeVAE
10,0.101629,13.576878,0.20632,0.170674,electricity,TimeVAE
11,0.100672,13.56748,0.205415,0.169912,electricity,TimeVAE
12,0.101064,13.592927,0.203936,0.168921,electricity,TimeVAE
13,0.102162,13.653496,0.205959,0.170518,electricity,TimeVAE
14,0.100956,13.66255,0.206193,0.170675,electricity,TimeVAE
0,0.181259,16.454502,0.239486,0.19181,exchange,TimeVAE
1,0.181564,16.431879,0.240137,0.191063,exchange,TimeVAE
2,0.18166,16.454457,0.241041,0.193485,exchange,TimeVAE
3,0.173798,16.734396,0.230785,0.184416,exchange,TimeVAE
4,0.177028,16.70371,0.236257,0.189003,exchange,TimeVAE
5,0.181471,16.488888,0.242564,0.194113,exchange,TimeVAE
6,0.182822,16.527637,0.243525,0.193435,exchange,TimeVAE
7,0.180187,16.64783,0.241794,0.194159,exchange,TimeVAE
8,0.184641,16.52907,0.241549,0.194014,exchange,TimeVAE
9,0.178494,16.709448,0.235,0.188665,exchange,TimeVAE
10,0.177735,16.606194,0.237382,0.187955,exchange,TimeVAE
11,0.186007,16.429094,0.243258,0.195912,exchange,TimeVAE
12,0.18242,16.106823,0.245353,0.194541,exchange,TimeVAE
13,0.181499,16.523336,0.243675,0.194662,exchange,TimeVAE
14,0.180199,16.655124,0.24017,0.192282,exchange,TimeVAE
0,0.161632,9.873895,1.406204,0.847324,weather,TimeVAE
1,0.16105,9.86779,1.38612,0.830904,weather,TimeVAE
2,0.161682,9.869688,1.454936,0.883903,weather,TimeVAE
3,0.159436,9.942387,1.408788,0.849379,weather,TimeVAE
4,0.163034,9.831864,1.493006,0.92021,weather,TimeVAE
5,0.162297,9.817738,1.444248,0.880145,weather,TimeVAE
6,0.163736,9.887576,1.478813,0.908382,weather,TimeVAE
7,0.161439,9.795193,1.426023,0.863825,weather,TimeVAE
8,0.163829,9.905126,1.438447,0.871815,weather,TimeVAE
9,0.162378,9.864761,1.431677,0.868296,weather,TimeVAE
10,0.163688,9.823052,1.477868,0.906677,weather,TimeVAE
11,0.16121,9.83082,1.421302,0.854879,weather,TimeVAE
12,0.16106,9.841777,1.423724,0.858718,weather,TimeVAE
13,0.163514,9.751917,1.469398,0.899628,weather,TimeVAE
14,0.162681,9.808814,1.440494,0.87382,weather,TimeVAE
0,0.127016,0.892299,0.188139,0.126516,electricity,VRNNGAN
1,0.125335,0.863918,0.185098,0.124083,electricity,VRNNGAN
2,0.125973,0.869401,0.18678,0.125281,electricity,VRNNGAN
